id	popularity	frequency_short	units_short	seasonal_adjustment_short	name	title
72283	1	A		NSA	ERVEF51111ALLEST	Export Revenue for Newspaper Publishers, All Establishments, Employer Firms
72298	1	A		NSA	ERVEF54111ALLEST	Export Revenue for Offices of Lawyers, All Establishments, Employer Firms
72313	1	A		NSA	ERVEF7111ALLEST	Export Revenue for Performing Arts Companies, All Establishments, Employer Firms
72284	1	A		NSA	ERVEF51112ALLEST	Export Revenue for Periodical Publishers, All Establishments, Employer Firms
72296	1	A		NSA	ERVEF52392ALLEST	Export Revenue for Portfolio Management, All Establishments, Employer Firms
72309	1	A		NSA	ERVEF54171ALLEST	Export Revenue for Research and Development in the Physical, Engineering, and Life Sciences, All Establishments, Employer Firms
72310	1	A		NSA	ERVEF54172ALLEST	Export Revenue for Research and Development in the Social Sciences and Humanities, All Establishments, Employer Firms
72293	1	A		NSA	ERVEF52312ALLEST	Export Revenue for Securities Brokerage, All Establishments, Employer Firms
72289	1	A		NSA	ERVEF5112ALLEST	Export Revenue for Software Publishers, All Establishments, Employer Firms
72304	1	A		NSA	ERVEF5413ZALLEST	Export Revenue for Surveying and Mapping Services, All Establishments, Employer Firms
72302	1	A		NSA	ERVEF54138ALLEST	Export Revenue for Testing Laboratories, All Establishments, Employer Firms
72312	1	A		NSA	ERVEF56152ALLEST	Export Revenue for Tour Operators, All Establishments, Employer Firms
72311	1	A		NSA	ERVEF56151ALLEST	Export Revenue for Travel Agencies, All Establishments, Employer Firms
140238	1	A		NSA	B181RC1A027NBEA	Exports of agricultural goods
146337	3	Q		NSA	NA000353Q	Exports of Goods
140399	4	Q		NSA	NA000352Q	Exports of Goods and Services
140145	1	A		NSA	A182RC1A027NBEA	Exports of nonagricultural goods
140400	3	Q		NSA	NA000354Q	Exports of Services
140432	2	A		NSA	Y801RC1A027NBEA	Exports of services: Travel (for all purposes including education)
137756	1	A		NSA	MPU5150012	Fabricated Metal Products: Total Factor Productivity
11553	4	A		NSA	OFHHFH	Family Households with Female Householder
11554	4	A		NSA	OFHHMH	Family Households with Male Householder
11511	11	A		NSA	FHHWMC	Family Households with Married Couples
142836	16	A		NSA	A2000C1A027NBEA	Farm output
134528	1	M		NSA	FRPACBM027NBOG	Fed Funds and Reverse RPs with Banks, All Commercial Banks (DISCONTINUED)
13736	17	Q		NSA	FDHBATN	Federal Debt Held by Agencies and Trusts
13740	54	Q		NSA	FDHBFRBN	Federal Debt Held by Federal Reserve Banks
13738	61	Q		NSA	FDHBFIN	Federal Debt Held by Foreign and International Investors
13742	37	Q		NSA	FDHBPIN	Federal Debt Held by Private Investors
13751	57	Q		NSA	FYGFDPUN	Federal Debt Held by the Public
13759	86	Q		NSA	GFDEBTN	Federal Debt: Total Public Debt
82605	97	M		NSA	FEDFUNDS	Federal Funds Effective Rate
82589	52	D		NSA	DFEDTAR	Federal Funds Target Rate (DISCONTINUED)
141425	1	Q		NSA	NA000291Q	Federal government consumption expenditures
141309	1	Q		NSA	A957RU1Q027NBEA	Federal government consumption expenditures (DISCONTINUED)
138849	1	Q		NSA	A918RU1Q027NBEA	Federal government consumption of fixed capital (DISCONTINUED)
141961	1	Q		NSA	W013RU1Q027NBEA	Federal government current expenditures (DISCONTINUED)
142066	1	Q		NSA	NA000288Q	Federal government current transfer receipts
142075	1	Q		NSA	W011RU1Q027NBEA	Federal government current transfer receipts (DISCONTINUED)
141215	1	Q		NSA	A787RU1Q027NBEA	Federal government gross investment (DISCONTINUED)
110367	6	Q		NSA	FGTNILQ027S	Federal Government; Total Assets (Does Not Include Land), Level
110345	1	Q		NSA	FGTCAAQ027S	Federal Government; Total Currency and Deposits; Asset, Level
110339	1	Q		NSA	FGTADLQ027S	Federal Government; Total Currency and Deposits; Liability, Level
110351	2	Q		NSA	FGTFASQ027S	Federal Government; Total Financial Assets, Level
110361	7	Q		NSA	FGTLBLQ027S	Federal Government; Total Liabilities, Level
110357	1	Q		NSA	FGTLASQ027S	Federal Government; Total Loans; Asset, Level
108811	23	Q		NSA	FGTSL	Federal Government; Total Marketable Treasury Securities; Liability, Level
110390	1	Q		NSA	FGTTLMQ027S	Federal Government; Total Mortgages; Asset, Level
110374	2	Q		NSA	FGTRARQ027S	Federal Government; Total Residential and Nonresidential Structures, Level
110391	1	A		NSA	FGTTSDA027N	Federal government; total time and savings deposits; asset, Flow (DISCONTINUED)
110384	1	Q		NSA	FGTSDAQ027S	Federal government; total time and savings deposits; asset, Level (DISCONTINUED)
11574	50	A		NSA	STTMINWGFG	Federal Minimum Wage Rate under the Federal Fair Labor Standards Act
13755	48	A		NSA	FYONET	Federal Net Outlays
13756	63	A		NSA	FYONGDA188S	Federal Net Outlays as Percent of Gross Domestic Product
13743	53	A		NSA	FYFR	Federal Receipts
13744	67	A		NSA	FYFRGDA188S	Federal Receipts as Percent of Gross Domestic Product
82593	8	NA		NSA	DISCNTD8	Federal Reserve Bank of St. Louis Basic Discount Rate (DISCONTINUED)
13766	66	M		NSA	MTSDS133FMS	Federal Surplus or Deficit [-]
13747	74	A		NSA	FYFSGDA188S	Federal Surplus or Deficit [-] as Percent of Gross Domestic Product
